CustomerID,TypeOfIncident,SeverityOfIncident,AuthoritiesContacted,IncidentState,IncidentCity,PropertyDamage,BodilyInjuries,Witnesses,PoliceReport,AmountOfTotalClaim,AmountOfInjuryClaim,AmountOfPropertyClaim,AmountOfVehicleDamage,MonthOfIncident
Cust13858,Single Vehicle Collision,Minor Damage,Fire,State5,City3,NO,0,2,,64154,10692,10692,42770,1
Cust13859,Parked Car,Minor Damage,None,State9,City4,YES,2,0,NO,5120,564,606,3950,1
Cust1386,Multi-vehicle Collision,Minor Damage,Fire,State5,City4,NO,1,0,YES,49140,5460,5460,38220,2
Cust13861,Multi-vehicle Collision,Minor Damage,Ambulance,State5,City2,,1,3,YES,54767,6407,11849,36511,1
Cust13862,Single Vehicle Collision,Total Loss,Ambulance,State7,City1,,2,1,YES,67255,10904,7285,49066,1
Cust13863,Vehicle Theft,Minor Damage,None,State8,City3,NO,0,3,NO,5944,1282,728,3934,1
Cust13864,Single Vehicle Collision,Total Loss,Other,State5,City2,NO,0,2,NO,60056,6499,6499,47058,2
Cust13865,Parked Car,Trivial Damage,None,State9,City3,,0,3,YES,6098,1253,856,3989,1
Cust13867,Multi-vehicle Collision,Total Loss,Ambulance,State3,City1,,0,1,,53956,7703,7703,38550,2
Cust13869,Single Vehicle Collision,Minor Damage,Ambulance,State9,City2,YES,0,2,,60339,8118,10444,41777,2
Cust1387,Single Vehicle Collision,Major Damage,Ambulance,State9,City5,NO,0,1,,66840,16710,5570,44560,2
Cust13872,Vehicle Theft,Minor Damage,None,State9,City2,NO,1,3,,3872,480,430,2962,1
Cust13873,Vehicle Theft,Trivial Damage,None,State9,City7,YES,1,3,YES,4742,545,545,3652,1
Cust13874,Single Vehicle Collision,Total Loss,Police,State9,City1,NO,0,2,YES,12971,1634,1634,9703,1
Cust13877,Single Vehicle Collision,Total Loss,Other,State5,City2,NO,2,1,YES,56880,10300,6764,39816,1
Cust13878,Single Vehicle Collision,Total Loss,Ambulance,State9,City1,NO,1,1,,60194,11634,6530,42030,1
Cust13879,Single Vehicle Collision,Minor Damage,Police,State7,City6,YES,2,3,YES,74531,7750,14309,52472,2
Cust1388,Single Vehicle Collision,Total Loss,Other,State5,City3,,1,2,,62460,6940,6940,48580,2
Cust13880,Multi-vehicle Collision,Major Damage,Ambulance,State8,City3,,2,1,YES,68349,12427,12427,43495,1
Cust13881,Single Vehicle Collision,Minor Damage,Ambulance,State3,City3,YES,0,2,YES,80363,9336,7475,63552,2
Cust13882,Multi-vehicle Collision,Major Damage,Police,State7,City2,,1,2,NO,68683,9444,12449,46790,1
Cust13883,Parked Car,Trivial Damage,Police,State9,City6,NO,1,2,YES,32539,3253,3260,26026,1
Cust13884,Vehicle Theft,Trivial Damage,None,State9,City2,NO,0,1,NO,4027,526,572,2929,2
Cust13885,Multi-vehicle Collision,Minor Damage,Ambulance,State5,City2,,2,1,NO,46117,5846,8606,31665,1
Cust13886,Single Vehicle Collision,Total Loss,Fire,State7,City5,,0,1,NO,70742,12592,7780,50370,2
Cust13887,Multi-vehicle Collision,Total Loss,Ambulance,State8,City6,NO,1,3,YES,75337,6403,12055,56879,1
Cust13888,Single Vehicle Collision,Major Damage,Fire,State7,City3,,1,2,YES,59534,11821,5911,41802,1
Cust13889,Multi-vehicle Collision,Total Loss,Other,State4,City4,YES,0,0,NO,59479,6498,11774,41207,1
Cust1389,Multi-vehicle Collision,Total Loss,Other,State5,City2,YES,0,1,,62810,11420,11420,39970,2
Cust13890,Single Vehicle Collision,Minor Damage,Ambulance,State7,City1,,1,0,NO,61812,6693,6693,48426,1
Cust13891,Multi-vehicle Collision,Total Loss,Police,State5,City4,YES,2,0,NO,79032,13432,14225,51375,1
Cust13892,Parked Car,Minor Damage,None,State9,City2,,2,1,NO,2769,261,456,2052,1
Cust13894,Vehicle Theft,Minor Damage,None,State9,City4,NO,1,1,NO,2851,317,317,2217,2
Cust13899,Multi-vehicle Collision,Total Loss,Ambulance,State6,City3,,2,2,NO,72536,8954,13657,49925,2
Cust1390,Single Vehicle Collision,Major Damage,Ambulance,State9,City5,YES,1,2,,54160,6770,6770,40620,1
Cust13900,Vehicle Theft,Minor Damage,Police,State8,City1,,2,3,NO,4580,739,590,3251,1
Cust13901,Single Vehicle Collision,Major Damage,Police,State5,City6,NO,0,1,NO,54549,5455,6486,42608,2
Cust13902,Single Vehicle Collision,Minor Damage,Other,State8,City7,YES,1,3,,66571,13023,13023,40525,1
Cust13903,Single Vehicle Collision,Minor Damage,Police,State5,City5,,2,2,NO,71330,6172,15081,50077,1
Cust13904,Multi-vehicle Collision,Total Loss,Ambulance,State6,City3,,1,1,YES,62587,0,13473,49114,2
Cust13905,Vehicle Theft,Trivial Damage,None,State9,City2,,1,2,YES,4720,711,711,3298,2
Cust13906,Multi-vehicle Collision,Minor Damage,Fire,State5,City4,NO,2,2,YES,75869,13640,10655,51574,2
Cust13908,Multi-vehicle Collision,Minor Damage,Fire,State9,City4,NO,1,0,NO,44783,4838,6082,33863,2
Cust13909,Multi-vehicle Collision,Major Damage,Other,State6,City4,NO,1,0,,64839,6984,20288,37567,2
Cust13910,Multi-vehicle Collision,Minor Damage,Police,State8,City7,,0,2,,80349,12698,14779,52872,2
Cust13911,Single Vehicle Collision,Major Damage,Ambulance,State5,City7,YES,2,0,,51839,5772,8603,37464,1
Cust13912,Single Vehicle Collision,Total Loss,Ambulance,State7,City2,NO,0,2,,98791,17962,17962,62867,2
Cust13913,Multi-vehicle Collision,Minor Damage,Police,State5,City2,,2,1,YES,74163,7100,14199,52864,2
Cust13914,Single Vehicle Collision,Total Loss,Police,State5,City2,,0,0,NO,86235,15429,15429,55377,2
Cust13917,Vehicle Theft,Minor Damage,Police,State4,City3,NO,1,0,,6020,993,993,4034,1
Cust13918,Multi-vehicle Collision,Total Loss,Fire,State9,City2,YES,0,1,,48018,7908,2895,37215,1
Cust13919,Single Vehicle Collision,Total Loss,Fire,State5,City5,YES,0,3,,57277,8644,5713,42920,2
Cust13920,Single Vehicle Collision,Total Loss,Fire,State8,City6,NO,0,0,,58856,5356,5356,48144,2
Cust13921,Multi-vehicle Collision,Major Damage,Ambulance,State9,City5,NO,1,3,,55263,6140,6140,42983,2
Cust13922,Multi-vehicle Collision,Total Loss,Fire,State5,City5,,1,0,NO,60933,9468,9164,42301,1
Cust13923,Single Vehicle Collision,Minor Damage,Other,State9,City4,,2,3,NO,61905,6104,6104,49697,1
Cust13924,Single Vehicle Collision,Minor Damage,Fire,State9,City5,,1,0,YES,43354,8088,4044,31222,2
Cust13925,Single Vehicle Collision,Minor Damage,Ambulance,State6,City4,NO,1,2,YES,26889,2771,91,24027,2
Cust13926,Multi-vehicle Collision,Total Loss,Police,State7,City1,,2,1,NO,58383,5838,5838,46707,2
Cust13927,Single Vehicle Collision,Minor Damage,Ambulance,State9,City5,NO,0,3,NO,52820,9033,7655,36132,1
Cust13928,Single Vehicle Collision,Total Loss,Fire,State5,City2,NO,0,2,NO,57381,6286,6286,44809,2
Cust13929,Single Vehicle Collision,Total Loss,Other,State9,City3,YES,1,2,YES,60094,7827,6533,45734,2
Cust1393,Multi-vehicle Collision,Total Loss,Fire,State5,City2,NO,2,1,NO,51700,5170,10340,36190,1
Cust13931,Single Vehicle Collision,Minor Damage,Other,State5,City7,,2,3,NO,64861,6480,6480,51901,1
Cust13932,Multi-vehicle Collision,Major Damage,Fire,State5,City5,YES,1,3,,61854,8412,6680,46762,1
Cust13933,Single Vehicle Collision,Minor Damage,Police,State8,City2,YES,2,3,,93979,16240,16240,61499,1
Cust13934,Multi-vehicle Collision,Total Loss,Ambulance,State9,City7,YES,2,0,,78887,14060,8588,56239,2
Cust13936,Multi-vehicle Collision,Total Loss,Police,State9,City7,,0,3,YES,47653,5215,5931,36507,2
Cust13937,Multi-vehicle Collision,Minor Damage,Fire,State5,City4,YES,0,2,YES,66938,12938,12938,41062,3
Cust13938,Single Vehicle Collision,Total Loss,Ambulance,State9,City3,NO,1,1,NO,57430,11924,5962,39544,1
Cust13939,Multi-vehicle Collision,Major Damage,Other,State6,City3,,0,2,YES,49833,8805,6704,34324,2
Cust13940,Single Vehicle Collision,Major Damage,Fire,State5,City6,,2,2,,53435,9721,4860,38854,2
Cust13941,Single Vehicle Collision,Major Damage,Ambulance,State5,City2,NO,2,0,,52267,5227,10453,36587,1
Cust13943,Multi-vehicle Collision,Major Damage,Ambulance,State6,City7,,0,3,NO,42095,4395,4395,33305,1
Cust13944,Single Vehicle Collision,Total Loss,Other,State7,City1,NO,1,0,YES,56588,7963,5659,42966,2
Cust13946,Multi-vehicle Collision,Total Loss,Other,State9,City6,NO,1,2,NO,87378,16077,11535,59766,1
Cust13947,Single Vehicle Collision,Major Damage,Other,State5,City7,NO,1,1,,70608,6942,13883,49783,2
Cust13949,Single Vehicle Collision,Total Loss,Other,State4,City5,NO,2,0,,54111,6012,6012,42087,1
Cust1395,Multi-vehicle Collision,Major Damage,Other,State3,City1,NO,2,2,NO,47700,4770,9540,33390,2
Cust13953,Multi-vehicle Collision,Major Damage,Fire,State9,City3,NO,1,1,YES,72345,7150,14299,50896,2
Cust13954,Single Vehicle Collision,Minor Damage,Fire,State8,City1,,1,3,,43774,7729,7959,28086,1
Cust13956,Single Vehicle Collision,Minor Damage,Other,State9,City3,YES,1,1,NO,72814,8478,12413,51923,2
Cust13957,Multi-vehicle Collision,Major Damage,Other,State7,City2,NO,1,3,YES,64496,10332,10958,43206,1
Cust13958,Single Vehicle Collision,Total Loss,Police,State7,City4,YES,1,0,YES,53453,11262,4203,37988,2
Cust13960,Multi-vehicle Collision,Minor Damage,Fire,State5,City2,,1,3,,50525,4644,4644,41237,1
Cust13961,Parked Car,Trivial Damage,Police,State9,City1,,1,2,NO,2374,263,269,1842,1
Cust13962,Single Vehicle Collision,Total Loss,Police,State4,City3,NO,2,0,,50093,5566,5566,38961,1
Cust13964,Multi-vehicle Collision,Minor Damage,Other,State9,City2,,2,1,NO,74028,6730,13460,53838,2
Cust13966,Parked Car,Minor Damage,Police,State9,City4,YES,1,1,NO,6069,1073,1073,3923,2
Cust13967,Multi-vehicle Collision,Major Damage,Ambulance,State4,City7,NO,2,0,YES,76790,6845,13690,56255,2
Cust13969,Parked Car,Trivial Damage,Police,State5,City4,,1,2,NO,4844,549,98,4197,2
Cust13971,Single Vehicle Collision,Minor Damage,Fire,State9,City3,NO,2,0,,72686,14222,14222,44242,2
Cust13972,Single Vehicle Collision,Minor Damage,Fire,State7,City6,YES,2,3,YES,78360,13060,6979,58321,1
Cust13974,Multi-vehicle Collision,Major Damage,Other,State7,City2,,0,0,,61760,5615,11229,44916,2
Cust13975,Vehicle Theft,Minor Damage,None,State5,City1,YES,1,3,,4700,470,940,3290,1
Cust13976,Multi-vehicle Collision,Minor Damage,Police,State9,City1,,1,3,YES,69318,12132,12132,45054,1
Cust13977,Single Vehicle Collision,Minor Damage,Fire,State9,City3,,1,1,NO,64743,11010,6474,47259,2
Cust13978,Multi-vehicle Collision,Minor Damage,Other,State8,City7,YES,1,0,,49771,11802,7013,30956,3
Cust13979,Single Vehicle Collision,Total Loss,Police,State9,City4,,2,1,NO,48896,5150,10301,33445,1
Cust13980,Single Vehicle Collision,Minor Damage,Fire,State5,City7,NO,2,0,NO,49710,4089,5523,40098,2
Cust13981,Single Vehicle Collision,Major Damage,Police,State9,City5,YES,1,3,,62303,11111,5794,45398,1
Cust13982,Parked Car,Trivial Damage,None,State4,City3,NO,0,0,NO,6601,813,813,4975,2
Cust13984,Multi-vehicle Collision,Minor Damage,Police,State5,City1,YES,0,0,,48984,10009,8276,30699,1
Cust13985,Multi-vehicle Collision,Total Loss,Fire,State4,City3,YES,1,2,NO,56824,10949,8870,37005,2
Cust13986,Single Vehicle Collision,Minor Damage,Fire,State7,City2,YES,1,2,,69792,9055,13497,47240,1
Cust13987,Multi-vehicle Collision,Major Damage,Police,State7,City2,NO,1,3,NO,60376,8660,10764,40952,1
Cust13988,Parked Car,Minor Damage,None,State8,City7,,1,2,NO,6835,1121,668,5046,1
Cust13989,Parked Car,Minor Damage,None,State9,City4,NO,1,3,YES,3410,646,331,2433,1
Cust1399,Vehicle Theft,Trivial Damage,Police,State9,City2,,0,1,YES,3190,580,290,2320,2
Cust13990,Single Vehicle Collision,Minor Damage,Fire,State4,City5,,2,3,NO,31133,1619,3689,25825,1
Cust13991,Multi-vehicle Collision,Minor Damage,Other,State7,City2,NO,1,2,,36532,5425,3669,27438,2
Cust13993,Multi-vehicle Collision,Major Damage,Ambulance,State8,City3,,2,1,NO,62521,10691,9067,42763,2
Cust13994,Single Vehicle Collision,Major Damage,Fire,State5,City4,NO,1,3,YES,85300,16440,11318,57542,1
Cust13995,Multi-vehicle Collision,Total Loss,Police,State9,City1,YES,2,2,YES,61233,5220,14256,41757,1
Cust13996,Multi-vehicle Collision,Total Loss,Police,State5,City3,YES,2,0,NO,79275,13792,14318,51165,1
Cust13998,Multi-vehicle Collision,Minor Damage,Police,State8,City4,NO,1,1,YES,63272,11875,5937,45460,1
Cust13999,Single Vehicle Collision,Total Loss,Ambulance,State5,City2,,1,3,YES,61271,8600,6127,46544,2
Cust1400,Single Vehicle Collision,Minor Damage,Ambulance,State5,City2,NO,1,0,YES,76920,12820,6410,57690,1
Cust14000,Single Vehicle Collision,Minor Damage,Police,State7,City3,NO,0,3,NO,37913,4585,7406,25922,2
Cust14001,Single Vehicle Collision,Total Loss,Police,State9,City5,NO,2,1,,57779,9211,6071,42497,1
Cust14003,Single Vehicle Collision,Total Loss,Ambulance,State9,City5,NO,0,3,,52561,5265,10438,36858,1
Cust14004,Parked Car,Trivial Damage,Police,State9,City4,,1,2,YES,6111,646,744,4721,1
Cust14005,Vehicle Theft,Total Loss,Other,State5,City5,,0,1,YES,4487,759,759,2969,2
Cust14006,Single Vehicle Collision,Total Loss,Ambulance,State8,City4,,1,1,,58640,5238,10477,42925,1
Cust14007,Multi-vehicle Collision,Total Loss,Ambulance,State5,City3,NO,0,3,NO,41679,3008,3008,35663,1
Cust14008,Single Vehicle Collision,Minor Damage,Fire,State5,City3,NO,2,3,YES,86729,7884,15769,63076,1
Cust14009,Single Vehicle Collision,Minor Damage,Fire,State5,City2,NO,0,1,,64081,10680,10680,42721,2
Cust1401,Multi-vehicle Collision,Total Loss,Police,State9,City7,YES,1,3,NO,77990,7090,14180,56720,2
Cust14010,Single Vehicle Collision,Major Damage,Fire,State5,City5,,2,0,,53217,10286,6930,36001,2
Cust14011,Single Vehicle Collision,Minor Damage,Other,State5,City4,,2,3,YES,60338,9643,6034,44661,2
Cust14012,Parked Car,Minor Damage,None,State8,City6,YES,0,3,YES,6161,701,937,4523,1
Cust14013,Single Vehicle Collision,Total Loss,Police,State9,City3,NO,0,2,,76576,11334,12164,53078,1
Cust14014,Vehicle Theft,Minor Damage,Police,State7,City5,YES,0,0,YES,6905,1221,1221,4463,2
Cust14015,Single Vehicle Collision,Major Damage,Police,State9,City3,YES,0,3,NO,54005,9819,5416,38770,2
Cust14016,Vehicle Theft,Minor Damage,Police,State9,City5,NO,1,2,,4651,571,766,3314,1
Cust14017,Single Vehicle Collision,Total Loss,Fire,State5,City3,NO,0,0,NO,60020,10913,6472,42635,2
Cust14018,Multi-vehicle Collision,Major Damage,Ambulance,State5,City7,,2,0,,55243,8329,4890,42024,2
Cust14019,Multi-vehicle Collision,Major Damage,Other,State9,City4,NO,1,0,,69491,7267,17715,44509,3
Cust1402,Single Vehicle Collision,Total Loss,Fire,State5,City2,YES,1,0,,59670,9180,9180,41310,2
Cust14020,Multi-vehicle Collision,Minor Damage,Police,State8,City1,,0,2,YES,73753,7375,7375,59003,2
Cust14022,Single Vehicle Collision,Major Damage,Ambulance,State5,City2,YES,2,0,NO,54203,5420,10841,37942,1
Cust14023,Parked Car,Trivial Damage,Police,State4,City4,,1,2,NO,5134,542,254,4338,2
Cust14025,Multi-vehicle Collision,Total Loss,Other,State8,City2,,1,0,YES,51256,10057,4055,37144,2
Cust14026,Multi-vehicle Collision,Total Loss,Ambulance,State5,City1,YES,2,0,NO,59050,9067,5845,44138,2
Cust14027,Multi-vehicle Collision,Minor Damage,Police,State5,City6,,1,3,YES,87915,15403,13151,59361,1
Cust14028,Single Vehicle Collision,Minor Damage,Police,State9,City4,NO,2,0,,76756,9102,11073,56581,1
Cust14029,Parked Car,Trivial Damage,None,State7,City6,YES,0,3,YES,6237,655,987,4595,1
Cust1403,Multi-vehicle Collision,Major Damage,Ambulance,State5,City2,YES,2,0,NO,44880,8160,4080,32640,2
Cust14030,Parked Car,Minor Damage,Police,State9,City7,YES,0,1,YES,5801,716,580,4505,2
Cust14032,Vehicle Theft,Trivial Damage,None,State9,City6,YES,0,1,,5927,578,1013,4336,2
Cust14033,Parked Car,Minor Damage,Police,State5,City4,,1,2,,6134,924,579,4631,1
Cust14034,Multi-vehicle Collision,Total Loss,Other,State9,City6,NO,1,1,NO,87858,15549,7774,64535,1
Cust14035,Single Vehicle Collision,Minor Damage,Other,State5,City1,NO,0,0,,60999,6340,10278,44381,1
Cust14036,Single Vehicle Collision,Minor Damage,Ambulance,State7,City1,,0,2,NO,79888,10415,10424,59049,1
Cust14037,Multi-vehicle Collision,Major Damage,Ambulance,State5,City3,,0,1,,78037,18492,9885,49660,1
Cust14038,Multi-vehicle Collision,Total Loss,Fire,State6,City2,NO,2,0,NO,96080,17469,17469,61142,1
Cust1404,Single Vehicle Collision,Minor Damage,Ambulance,State4,City4,,0,2,NO,82830,7530,15060,60240,2
Cust14040,Vehicle Theft,Minor Damage,Police,State9,City1,NO,1,1,NO,2915,324,324,2267,2
Cust14041,Vehicle Theft,Minor Damage,Police,State4,City5,NO,0,2,,4227,841,432,2954,2
Cust14043,Multi-vehicle Collision,Major Damage,Police,State5,City1,,0,0,,47630,9059,8432,30139,1
Cust14044,Vehicle Theft,Minor Damage,Police,State4,City5,NO,1,2,,2289,493,246,1550,1
Cust14045,Single Vehicle Collision,Total Loss,Police,State9,City3,,2,3,YES,88807,8073,16147,64587,1
Cust14046,Multi-vehicle Collision,Major Damage,Ambulance,State3,City1,,0,1,,52479,8102,8102,36275,2
Cust14047,Parked Car,Trivial Damage,None,State7,City7,NO,1,2,YES,6850,1102,1102,4646,1
Cust14048,Single Vehicle Collision,Total Loss,Fire,State5,City3,,1,0,NO,70378,11595,7348,51435,2
Cust14049,Parked Car,Trivial Damage,None,State4,City5,,0,2,YES,9843,1258,1344,7241,2
Cust1405,Single Vehicle Collision,Minor Damage,Other,State7,City6,NO,1,3,NO,84480,7680,15360,61440,2
Cust14050,Parked Car,Minor Damage,None,State7,City6,NO,1,1,NO,4622,453,1173,2996,2
Cust14052,Single Vehicle Collision,Total Loss,Fire,State5,City2,NO,0,2,NO,55608,5667,5667,44274,2
Cust14053,Single Vehicle Collision,Minor Damage,Fire,State9,City6,YES,1,2,,44954,6485,7996,30473,2
Cust14054,Multi-vehicle Collision,Minor Damage,Ambulance,State8,City2,NO,2,3,,51899,9790,4895,37214,2
Cust14055,Multi-vehicle Collision,Total Loss,Ambulance,State9,City6,YES,1,1,YES,89105,16798,10956,61351,2
Cust14056,Single Vehicle Collision,Major Damage,Ambulance,State5,City2,NO,0,1,NO,58386,3131,8546,46709,2
Cust14057,Single Vehicle Collision,Minor Damage,Other,State9,City1,,0,0,NO,76696,15277,7670,53749,1
Cust14058,Single Vehicle Collision,Total Loss,Ambulance,State8,City3,YES,0,3,,45687,5037,5392,35258,1
Cust14060,Single Vehicle Collision,Total Loss,Ambulance,State5,City4,,1,2,YES,43913,3773,7092,33048,1
Cust14061,Single Vehicle Collision,Total Loss,Ambulance,State7,City1,NO,1,1,NO,57995,5177,10353,42465,1
Cust14062,Vehicle Theft,Minor Damage,Police,State7,City1,NO,1,1,,2917,358,358,2201,1
Cust14063,Single Vehicle Collision,Total Loss,Fire,State7,City5,YES,1,2,,71287,12366,9457,49464,2
Cust14065,Single Vehicle Collision,Major Damage,Other,State9,City3,NO,1,1,NO,70288,6151,12302,51835,2
Cust14067,Multi-vehicle Collision,Minor Damage,Fire,State5,City6,,1,1,,77789,2259,12295,63235,2
Cust14069,Multi-vehicle Collision,Major Damage,Other,State9,City3,,1,2,YES,94604,8041,15140,71423,2
Cust1407,Multi-vehicle Collision,Minor Damage,Police,State9,City1,,0,3,YES,53020,9640,9640,33740,2
Cust14070,Vehicle Theft,Trivial Damage,Police,State4,City6,NO,1,3,NO,5120,957,520,3643,2
Cust14073,Parked Car,Trivial Damage,None,State9,City1,NO,1,2,YES,5401,800,800,3801,2
Cust14074,Vehicle Theft,Trivial Damage,Police,State9,City7,YES,2,1,NO,3422,294,479,2649,1
Cust14075,Vehicle Theft,Trivial Damage,Police,State5,City5,YES,2,1,NO,5248,485,970,3793,1
Cust14076,Multi-vehicle Collision,Total Loss,Ambulance,State9,City3,NO,2,3,,78996,15320,7660,56016,2
Cust14077,Multi-vehicle Collision,Minor Damage,Ambulance,State6,City1,,2,1,YES,75076,10972,13238,50866,2
Cust14078,Multi-vehicle Collision,Total Loss,Fire,State7,City3,NO,2,3,YES,68023,12368,6184,49471,2
Cust14079,Single Vehicle Collision,Minor Damage,Other,State7,City2,YES,0,3,NO,76981,13294,13294,50393,1
Cust14080,Multi-vehicle Collision,Total Loss,Fire,State5,City1,NO,1,0,YES,67238,12148,6135,48955,2
Cust14081,Multi-vehicle Collision,Total Loss,Fire,State9,City4,,1,2,,62860,12901,6451,43508,2
Cust14082,Vehicle Theft,Trivial Damage,Police,State4,City4,,0,3,NO,5605,565,517,4523,2
Cust14083,Parked Car,Minor Damage,None,State3,City3,YES,1,3,NO,5084,1015,512,3557,2
Cust14084,Multi-vehicle Collision,Total Loss,Other,State7,City1,NO,2,0,YES,56555,9569,4785,42201,2
Cust14085,Multi-vehicle Collision,Major Damage,Ambulance,State5,City6,,2,1,NO,61544,10620,8445,42479,2
Cust1409,Single Vehicle Collision,Minor Damage,Fire,State3,City6,,1,3,YES,43230,7860,7860,27510,1
Cust14090,Multi-vehicle Collision,Minor Damage,Ambulance,State6,City2,NO,1,3,YES,49426,8751,7211,33464,1
Cust14091,Multi-vehicle Collision,Major Damage,Ambulance,State9,City2,NO,1,3,NO,63725,6066,11532,46127,1
Cust14092,Single Vehicle Collision,Total Loss,Ambulance,State5,City6,YES,0,1,NO,64316,7146,7146,50024,1
Cust14094,Multi-vehicle Collision,Total Loss,Other,State5,City5,NO,0,2,NO,69680,11613,11613,46454,1
Cust14095,Multi-vehicle Collision,Minor Damage,Police,State7,City2,,0,1,,62648,10705,11391,40552,2
Cust14096,Vehicle Theft,Minor Damage,None,State3,City1,NO,2,0,YES,7095,1053,713,5329,2
Cust14098,Single Vehicle Collision,Total Loss,Fire,State9,City4,YES,0,1,NO,92637,14252,14252,64133,2
Cust1410,Vehicle Theft,Trivial Damage,None,State4,City7,NO,2,3,NO,3190,290,580,2320,1
Cust14100,Single Vehicle Collision,Minor Damage,Police,State7,City2,,0,3,YES,43621,8724,4362,30535,1
Cust14101,Vehicle Theft,Minor Damage,Police,State5,City7,NO,1,2,NO,3626,640,426,2560,2
Cust14102,Multi-vehicle Collision,Major Damage,Police,State5,City2,NO,1,0,,68430,4968,10915,52547,1
Cust14103,Multi-vehicle Collision,Minor Damage,Police,State4,City6,NO,0,0,NO,78022,14976,7488,55558,1
Cust14104,Single Vehicle Collision,Minor Damage,Fire,State9,City1,YES,0,2,YES,51655,5235,6748,39672,1
Cust14105,Multi-vehicle Collision,Total Loss,Police,State9,City7,YES,1,0,,77659,14120,14120,49419,2
Cust14107,Vehicle Theft,Trivial Damage,None,State7,City1,YES,1,1,,6704,1118,638,4948,1
Cust14108,Multi-vehicle Collision,Total Loss,Police,State7,City4,YES,2,0,NO,65368,7556,10675,47137,1
Cust14109,Single Vehicle Collision,Total Loss,Other,State4,City6,NO,0,3,,58036,5751,6275,46010,1
Cust14110,Single Vehicle Collision,Minor Damage,Fire,State5,City3,NO,2,1,NO,53220,7986,5564,39670,2
Cust14111,Vehicle Theft,Trivial Damage,None,State5,City3,,1,2,YES,4515,654,654,3207,2
Cust14112,Single Vehicle Collision,Major Damage,Fire,State5,City7,,2,3,YES,44649,9915,4960,29774,2
Cust14113,Single Vehicle Collision,Minor Damage,Fire,State5,City5,NO,0,0,YES,61845,11223,6328,44294,1
Cust14115,Multi-vehicle Collision,Minor Damage,Ambulance,State5,City5,NO,0,3,NO,53109,5307,10614,37188,2
Cust14116,Single Vehicle Collision,Total Loss,Ambulance,State5,City3,NO,2,1,,77807,8793,14694,54320,1
Cust14118,Multi-vehicle Collision,Major Damage,Fire,State5,City4,,0,2,,64535,6050,12100,46385,1
Cust14119,Single Vehicle Collision,Minor Damage,Police,State5,City4,NO,2,2,NO,87588,13475,13475,60638,2
Cust1412,Parked Car,Trivial Damage,Police,State7,City1,YES,2,0,YES,6820,620,1240,4960,2
Cust14120,Single Vehicle Collision,Minor Damage,Police,State5,City4,,1,2,NO,67947,10534,10534,46879,2
Cust14121,Multi-vehicle Collision,Total Loss,Other,State4,City3,YES,0,2,,84683,7314,14628,62741,1
Cust14122,Multi-vehicle Collision,Minor Damage,Police,State5,City7,YES,2,0,NO,82524,15995,7998,58531,1
Cust14123,Single Vehicle Collision,Major Damage,Fire,State5,City5,YES,1,3,NO,69295,12712,12090,44493,1
Cust14124,Parked Car,Trivial Damage,None,State7,City1,NO,2,2,,5399,768,944,3687,2
Cust14128,Parked Car,Minor Damage,Police,State7,City4,,0,3,,5235,476,952,3807,2
Cust14129,Single Vehicle Collision,Total Loss,Ambulance,State7,City5,YES,0,0,NO,60144,5630,10201,44313,1
Cust1413,Multi-vehicle Collision,Minor Damage,Fire,State5,City6,NO,2,2,NO,69480,11580,11580,46320,2
Cust14130,Multi-vehicle Collision,Major Damage,Police,State9,City2,YES,1,0,,74882,14017,11807,49058,1
Cust14131,Vehicle Theft,Minor Damage,None,State4,City1,NO,0,2,NO,9958,1590,795,7573,2
Cust14134,Single Vehicle Collision,Total Loss,Police,State4,City4,YES,1,1,NO,57473,11944,5972,39557,1
Cust14136,Multi-vehicle Collision,Total Loss,Other,State7,City5,NO,2,3,,49156,7651,2008,39497,2
Cust14139,Single Vehicle Collision,Total Loss,Police,State5,City5,,0,0,,85637,15436,15570,54631,2
Cust14140,Single Vehicle Collision,Total Loss,Ambulance,State9,City6,,0,3,,58994,5698,7716,45580,1
Cust14141,Single Vehicle Collision,Minor Damage,Police,State9,City7,YES,2,2,YES,105974,16671,16671,72632,1
Cust14142,Multi-vehicle Collision,Minor Damage,Ambulance,State5,City2,YES,1,3,,54288,5295,10591,38402,1
Cust14143,Single Vehicle Collision,Minor Damage,Ambulance,State4,City5,,0,3,,44759,5719,5719,33321,1
Cust14144,Multi-vehicle Collision,Minor Damage,Fire,State5,City2,NO,2,0,YES,95404,17346,17346,60712,1
Cust14145,Multi-vehicle Collision,Total Loss,Police,State5,City7,NO,2,1,,53027,5844,10485,36698,1
Cust14146,Multi-vehicle Collision,Minor Damage,Police,State9,City7,NO,2,2,NO,91977,14399,14399,63179,2
Cust14148,Multi-vehicle Collision,Major Damage,Other,State9,City7,,0,0,,55142,2633,10502,42007,2
Cust14149,Multi-vehicle Collision,Minor Damage,Police,State9,City7,NO,1,2,NO,64428,7159,489,56780,2
Cust1415,Vehicle Theft,Minor Damage,None,State4,City6,YES,1,2,,7800,780,780,6240,1
Cust14151,Vehicle Theft,Minor Damage,None,State9,City2,YES,1,3,,5878,614,614,4650,1
Cust14152,Multi-vehicle Collision,Minor Damage,Police,State5,City4,,1,0,,31700,6279,3178,22243,1
Cust14153,Parked Car,Minor Damage,Police,State4,City4,YES,0,1,,5296,858,858,3580,2
