CustomerLoyaltyPeriod,Policy_CombinedSingleLimit,Policy_Deductible,PolicyAnnualPremium,UmbrellaLimit,InsuredRelationship,CustomerID,PolicyMonth,PolicyYear
257,250/500,738,1281.9,1907642,not-in-family,Cust11863,6,2011
79,500/1000,500,1357.35,0,unmarried,Cust11864,12,2013
336,100/300,1033,951.07,0,not-in-family,Cust11866,6,2007
207,250/500,1136,1299.5,814181,unmarried,Cust11869,8,1991
334,250/500,2000,1290.01,0,not-in-family,Cust11870,9,2001
211,100/300,776,1014.02,1789067,other-relative,Cust11871,2,1998
262,100/300,948,1368.29,0,unmarried,Cust11873,10,2005
292,500/1000,950,1250.6,908762,wife,Cust11874,6,2013
213,500/1000,1000,1119.3,2423534,own-child,Cust11875,8,2008
248,250/500,1181,1545.7,4181198,not-in-family,Cust11876,5,1998
275,250/500,2000,1040.67,5000000,wife,Cust11877,4,1993
295,500/1000,914,1648.54,0,not-in-family,Cust11879,4,2007
152,100/300,1311,1210.27,1556393,own-child,Cust11880,6,2008
259,500/1000,1335,1503.75,6000000,unmarried,Cust11881,5,2012
106,250/300,1000,1516.58,0,husband,Cust11882,11,2006
169,100/300,1000,1534.13,0,unmarried,Cust11883,1,2004
51,100/300,728,1457.2,0,own-child,Cust11884,5,1997
203,100/300,714,1285.86,0,wife,Cust11885,5,2005
235,100/300,514,1252.83,3963172,other-relative,Cust11886,5,2002
368,100/300,2000,1254.12,0,other-relative,Cust11887,7,2005
68,250/500,500,1188.56,2425472,wife,Cust11888,10,1997
124,100/300,1000,970.51,0,wife,Cust11889,10,2012
167,500/1000,500,1344.44,0,other-relative,Cust11892,11,2012
203,500/1000,1858,1462.02,0,wife,Cust11893,8,1992
330,250/500,1000,1567.8,1166048,own-child,Cust11894,6,1996
230,250/1000,2000,1107.6,1642188,own-child,Cust11895,10,2003
197,100/300,856,822.31,0,husband,Cust11896,2,1994
179,100/300,2000,1469.9,0,own-child,Cust11897,7,1990
219,100/300,1604,1282.34,0,not-in-family,Cust11898,2,1990
137,250/500,834,1010.55,0,other-relative,Cust11900,2,1997
156,500/1000,1022,1083.73,0,other-relative,Cust11901,8,2003
359,100/300,647,1069.04,4942248,own-child,Cust11902,10,1996
172,500/1000,565,1359.08,0,own-child,Cust11903,2,1992
190,100/300,500,1107.1,0,not-in-family,Cust11906,8,1996
43,500/1000,500,1465.48,0,other-relative,Cust11907,4,2003
41,250/500,500,1248.84,0,own-child,Cust11908,8,2009
245,250/500,959,1456.68,0,husband,Cust11910,8,2006
180,500/1000,1542,1285.24,3663786,own-child,Cust11912,2,2004
195,100/300,928,1256.0,0,wife,Cust11913,4,1999
414,250/500,2000,1185.66,2291876,own-child,Cust11914,7,2003
270,100/300,2000,1155.84,0,husband,Cust11915,7,1997
263,250/500,527,1305.63,0,unmarried,Cust11918,2,2003
279,250/500,500,912.87,0,own-child,Cust11920,8,2006
62,500/1000,1000,1315.6,2381829,own-child,Cust11921,6,1999
151,250/500,2000,877.0,0,own-child,Cust11923,2,2005
218,500/1000,1000,1212.33,0,other-relative,Cust11924,9,1993
121,500/1000,1000,1061.49,5957049,unmarried,Cust11925,3,2007
370,250/300,775,1208.98,3298856,unmarried,Cust11926,7,1992
332,100/300,1000,1404.87,0,own-child,Cust11927,8,2005
135,500/1000,1000,1392.02,0,own-child,Cust11928,9,1995
215,250/500,784,902.6,0,husband,Cust11929,9,2001
191,100/300,500,1553.84,1643993,unmarried,Cust11930,12,1998
181,100/300,964,1377.34,430649,own-child,Cust11931,4,2004
147,100/300,911,1441.47,0,not-in-family,Cust11932,2,1999
258,500/1000,865,1085.41,0,own-child,Cust11933,2,2009
281,250/500,737,1292.69,2373729,other-relative,Cust11934,6,1991
229,250/500,1000,1369.94,3897779,wife,Cust11935,5,2010
181,250/500,1291,1025.37,0,husband,Cust11936,11,1995
278,500/1000,2000,1031.92,1056326,wife,Cust11937,4,2003
228,250/500,2000,1578.84,0,not-in-family,Cust11939,6,1997
304,100/300,2000,1351.81,0,own-child,Cust11940,8,2009
139,500/1000,1592,905.39,1630490,husband,Cust11941,4,2007
137,500/1000,619,1522.84,1190994,own-child,Cust11942,1,1992
285,500/1000,2000,1223.81,124645,unmarried,Cust11943,2,1993
112,250/500,2000,1354.19,5000000,own-child,Cust11944,11,2000
170,250/500,1340,1284.79,0,own-child,Cust11945,8,1996
158,100/300,1000,1459.61,0,other-relative,Cust11946,12,2008
270,100/300,503,1513.01,0,not-in-family,Cust11947,3,1990
347,250/500,1000,1025.73,0,husband,Cust11949,8,2005
85,100/300,1000,1640.52,0,own-child,Cust11950,8,1991
270,100/300,605,1518.4,0,not-in-family,Cust11951,9,1991
195,100/300,1000,1500.61,0,unmarried,Cust11952,9,1999
255,250/500,500,1305.42,0,husband,Cust11953,11,2006
217,100/300,768,1428.71,0,husband,Cust11956,4,1993
93,500/1000,2000,1057.99,0,own-child,Cust11957,7,1996
220,250/500,500,1398.98,0,unmarried,Cust11958,3,2010
219,500/1000,572,1244.17,0,not-in-family,Cust11959,10,2010
133,250/500,1000,1197.28,0,own-child,Cust11960,10,2001
319,250/500,2000,1195.75,0,not-in-family,Cust11961,10,1996
175,500/1000,2000,1238.02,0,unmarried,Cust11962,3,2003
97,250/500,1586,1299.06,0,not-in-family,Cust11963,8,1998
231,250/500,500,1058.92,3288151,not-in-family,Cust11964,5,2000
242,500/1000,1880,1180.28,3521514,other-relative,Cust11965,1,2013
106,250/500,2000,1271.72,3998609,own-child,Cust11966,10,2001
168,100/300,823,1106.4,0,not-in-family,Cust11967,6,1992
177,100/300,2000,1452.85,0,unmarried,Cust11969,11,1994
287,250/500,1000,1503.51,0,other-relative,Cust11971,5,2009
36,500/1000,1000,1890.62,0,wife,Cust11974,1,1996
264,250/500,2000,1217.59,0,unmarried,Cust11975,11,1992
226,100/300,1000,1370.06,0,other-relative,Cust11976,6,2004
137,250/500,852,1310.85,0,not-in-family,Cust11977,5,2010
277,500/1000,500,959.83,0,wife,Cust11978,3,2000
109,250/500,891,1228.93,0,not-in-family,Cust11979,6,1993
227,100/300,1017,1242.12,2620506,other-relative,Cust11980,4,2001
270,500/1000,2000,1085.01,1943794,wife,Cust11981,5,2001
232,250/500,620,1281.56,0,unmarried,Cust11982,3,2003
224,100/300,979,1223.56,4791724,other-relative,Cust11984,12,2000
195,100/300,1825,1172.78,4125095,wife,Cust11985,9,1996
257,100/300,1000,1041.37,0,husband,Cust11986,10,2002
360,100/300,615,1623.32,0,own-child,Cust11987,10,2002
443,100/300,2000,1223.49,0,husband,Cust11988,9,1999
413,250/500,500,1321.28,6531481,other-relative,Cust11989,9,1999
284,100/300,1992,1510.94,0,other-relative,Cust11991,11,1994
111,500/1000,1792,1687.19,0,other-relative,Cust11992,8,1994
280,500/1000,1787,1146.99,7141958,not-in-family,Cust11993,7,1998
303,500/1000,1000,1275.94,0,wife,Cust11994,4,1997
183,250/500,500,1354.75,0,unmarried,Cust11995,5,1999
123,500/1000,1698,1237.07,0,not-in-family,Cust11996,9,2010
292,500/1000,955,1365.6,0,unmarried,Cust11997,7,1992
170,250/500,697,1084.38,0,not-in-family,Cust12000,7,1999
108,250/500,872,1372.57,0,other-relative,Cust12001,2,1995
184,250/500,1572,1403.03,1141092,husband,Cust12002,6,2004
300,100/300,1000,1429.45,0,wife,Cust12003,12,1995
318,100/300,2000,915.58,5673955,wife,Cust12004,3,2010
185,500/1000,820,1425.42,0,own-child,Cust12007,8,1995
72,500/1000,1608,1605.3,0,not-in-family,Cust12009,9,2000
385,500/1000,2000,1342.25,2854071,not-in-family,Cust12010,7,2000
145,250/500,827,1455.06,1381298,husband,Cust12011,1,2003
295,100/300,1022,1145.55,6845521,not-in-family,Cust12012,2,1993
175,100/300,2000,1231.75,0,own-child,Cust12013,8,2007
218,250/500,1836,1436.46,0,husband,Cust12014,11,2006
439,250/500,2000,1384.46,0,other-relative,Cust12016,5,1999
248,250/500,1000,1202.54,3852053,unmarried,Cust12017,1,2010
319,100/300,1360,1222.91,4477349,not-in-family,Cust12018,5,1993
263,500/1000,1000,1573.3,0,husband,Cust12021,8,2014
218,500/1000,500,1681.4,0,not-in-family,Cust12022,4,2004
104,100/300,2000,1102.7,0,husband,Cust12024,8,1994
277,250/500,1057,1347.16,0,not-in-family,Cust12025,2,1992
390,250/500,680,1665.35,0,not-in-family,Cust12026,4,1996
201,250/500,1047,1410.44,5729438,unmarried,Cust12027,8,2008
459,100/300,500,1013.54,275939,wife,Cust12028,6,2000
208,250/500,2000,1082.16,0,own-child,Cust12029,5,2005
76,500/1000,1518,1580.68,0,not-in-family,Cust12031,9,2000
288,250/500,964,1388.53,2071948,husband,Cust12032,11,2009
377,250/500,500,844.99,1002271,not-in-family,Cust12033,12,2013
179,250/500,1142,1420.22,0,own-child,Cust12034,2,1992
210,500/1000,1250,1000.45,0,unmarried,Cust12035,6,1999
318,100/300,1000,1484.3,3765822,other-relative,Cust12036,4,2007
117,100/300,1420,988.3,0,husband,Cust12037,5,2003
71,250/500,927,1012.54,0,not-in-family,Cust12038,4,1995
236,100/300,1000,1517.09,1139505,own-child,Cust12039,8,2002
222,500/1000,701,1239.75,0,own-child,Cust12041,5,1995
289,100/300,1521,1015.3,0,not-in-family,Cust12043,8,1997
254,250/500,750,1302.93,5999711,own-child,Cust12045,5,1997
304,100/300,932,1196.89,0,unmarried,Cust12046,5,1993
261,250/500,1000,1254.34,0,other-relative,Cust12047,6,2005
277,500/1000,1000,893.26,2074894,own-child,Cust12049,6,2001
259,250/500,648,-1.0,1774548,husband,Cust12050,8,1991
173,100/300,2000,1246.43,0,own-child,Cust12051,9,2004
360,100/300,1458,1074.03,0,husband,Cust12052,1,2005
46,100/300,1000,1207.82,944498,not-in-family,Cust12053,8,2009
196,500/1000,1529,1634.86,0,own-child,Cust12054,6,1999
20,500/1000,1000,1358.77,0,unmarried,Cust12055,7,1991
278,500/1000,1055,1446.88,0,husband,Cust12057,1,2003
174,100/300,2000,1257.2,0,own-child,Cust12058,9,2006
309,250/500,1726,1028.42,0,other-relative,Cust12059,10,1997
130,100/500,684,1287.3,0,not-in-family,Cust12060,2,1994
125,250/500,931,573.0,0,husband,Cust12061,2,2007
196,250/500,2000,1138.29,0,other-relative,Cust12062,6,2002
245,100/300,500,1430.65,0,husband,Cust12063,7,1994
309,100/300,1960,1335.08,186305,own-child,Cust12064,8,2009
166,250/500,500,1160.19,0,other-relative,Cust12065,7,2009
190,250/500,780,1550.38,0,husband,Cust12067,7,1997
245,500/1000,2000,1299.31,6483706,other-relative,Cust12068,8,1999
246,500/1000,1060,1271.48,0,wife,Cust12069,4,1993
219,500/1000,978,1568.06,0,own-child,Cust12070,4,1991
41,500/1000,1929,698.52,0,not-in-family,Cust12071,8,2011
158,100/300,907,1620.84,2441070,other-relative,Cust12072,11,2012
159,100/300,2000,1206.07,0,wife,Cust12073,11,2004
360,250/500,2000,1552.98,0,own-child,Cust12074,4,2012
181,100/1000,1000,1284.5,0,unmarried,Cust12075,10,1993
158,100/300,500,1239.76,0,wife,Cust12076,6,2001
219,500/1000,575,1272.18,0,own-child,Cust12078,2,2006
179,100/300,960,1374.38,475069,own-child,Cust12080,4,2004
202,250/500,655,1383.12,2758331,unmarried,Cust12081,10,2005
211,250/500,2000,1305.38,0,not-in-family,Cust12082,12,1991
157,100/300,1000,1051.13,3976272,not-in-family,Cust12085,4,1998
225,100/300,535,1156.53,0,wife,Cust12086,10,2005
75,500/1000,1000,1355.01,1435106,own-child,Cust12087,7,1997
258,100/300,552,1378.14,-896857,wife,Cust12088,5,1996
53,250/500,2000,1070.11,0,other-relative,Cust12089,10,2003
202,500/1000,1508,1220.73,2030280,wife,Cust12090,1,2012
151,250/500,682,1144.43,1094695,wife,Cust12091,9,2004
263,100/300,500,930.82,0,other-relative,Cust12093,11,1996
200,250/500,500,1481.97,0,not-in-family,Cust12094,3,2010
140,250/500,1814,1133.6,0,other-relative,Cust12095,8,1998
143,100/300,2000,1087.09,5000000,own-child,Cust12097,11,1994
77,100/300,2000,1156.56,0,husband,Cust12098,1,2004
256,250/500,500,1161.8,4612824,wife,Cust12099,10,2008
284,250/500,640,1389.95,0,husband,Cust12100,10,2005
169,250/500,2000,1237.59,0,husband,Cust12102,10,2009
142,100/300,1341,1111.57,0,wife,Cust12103,8,2005
284,500/1000,1000,1399.36,0,own-child,Cust12104,2,2010
47,100/300,880,1085.35,6507181,own-child,Cust12105,4,2010
212,500/1000,1257,1221.96,0,wife,Cust12106,5,1995
273,500/1000,993,1370.03,0,not-in-family,Cust12107,2,1997
257,500/1000,2000,1448.76,0,other-relative,Cust12108,12,1992
108,250/500,500,1010.47,0,not-in-family,Cust12109,7,1997
228,100/300,1932,1567.96,0,wife,Cust12110,11,1993
331,500/1000,500,1355.81,0,wife,Cust12113,10,2002
255,250/300,805,1490.01,0,not-in-family,Cust12116,6,1995
228,500/1000,667,1316.02,0,not-in-family,Cust12117,3,2002
67,250/500,636,1145.41,0,unmarried,Cust12118,9,2007
216,500/1000,1610,1280.72,0,unmarried,Cust12119,4,1992
120,500/1000,1000,1042.2,4266718,unmarried,Cust12121,4,2009
171,250/500,500,1486.83,2681158,wife,Cust12122,10,2010
95,250/500,905,982.78,0,unmarried,Cust12124,11,1997
321,500/1000,1435,1128.74,2259087,unmarried,Cust12125,9,1995
296,100/300,1001,1594.13,0,wife,Cust12126,3,2002
318,500/1000,692,1285.08,0,other-relative,Cust12127,4,1997
113,100/300,1838,1538.0,0,wife,Cust12128,8,1993
254,500/1000,2000,929.65,5871068,husband,Cust12130,2,1999
39,100/300,1000,1688.63,0,other-relative,Cust12131,10,1998
136,100/300,500,1382.47,4815188,unmarried,Cust12133,11,1992
104,500/1000,2000,1124.71,0,own-child,Cust12135,9,1994
283,500/1000,500,1133.61,0,unmarried,Cust12139,4,1999
186,100/300,1339,1335.27,0,own-child,Cust12140,10,1999
179,500/500,2000,1300.66,6437805,own-child,Cust12141,11,2001
211,500/1000,500,1225.85,0,other-relative,Cust12143,11,2012
449,100/300,1000,1333.99,0,other-relative,Cust12144,12,1992
275,500/1000,1000,1403.18,0,own-child,Cust12145,2,2010
222,500/1000,2000,1396.02,0,other-relative,Cust12146,3,1994
73,500/1000,592,1115.62,0,own-child,Cust12149,9,1998
227,100/300,971,1439.55,0,own-child,Cust12151,11,1992
235,250/500,2000,1200.51,2298503,own-child,Cust12152,10,2002
216,250/500,2000,1176.72,0,unmarried,Cust12154,10,2012
130,500/1000,1000,1131.37,4948801,wife,Cust12157,10,1991
169,100/300,1474,1099.26,2369206,wife,Cust12158,8,1998
284,250/500,1566,1168.31,0,husband,Cust12163,11,2002
178,250/500,2000,1220.27,0,not-in-family,Cust12164,11,1993
367,100/300,1000,1256.21,4673967,unmarried,Cust12165,8,1998
170,100/300,575,1636.86,0,other-relative,Cust12166,9,1992
118,250/500,694,1104.05,0,unmarried,Cust12167,7,1999
301,250/500,1476,1363.93,2620023,other-relative,Cust12169,7,1992
199,100/300,696,1374.97,4392460,wife,Cust12172,7,2004
222,500/1000,1440,1200.57,0,husband,Cust12173,11,1994
26,500/1000,996,1918.0,0,wife,Cust12174,1,1996
271,250/500,1536,1236.06,0,unmarried,Cust12175,8,1997
254,250/500,524,974.78,0,not-in-family,Cust12176,10,1998
183,250/500,1848,1285.39,0,not-in-family,Cust12178,11,1993
195,250/500,1276,1228.05,0,not-in-family,Cust12179,3,1992
69,100/300,1000,1496.83,0,own-child,Cust12180,6,2006
121,500/1000,1290,1175.16,2580273,unmarried,Cust12182,10,2007
345,500/1000,500,1016.43,0,other-relative,Cust12183,8,2004
170,250/500,982,1323.33,4070880,unmarried,Cust12184,3,2006
286,500/1000,785,1381.87,0,unmarried,Cust12185,4,1995
184,250/500,598,1339.32,5392833,own-child,Cust12186,3,1997
220,100/300,1000,1211.82,0,not-in-family,Cust12187,5,2011
185,250/500,1000,965.31,2141515,other-relative,Cust12188,11,1998
211,100/1000,626,1117.72,0,not-in-family,Cust12191,9,1995
376,500/1000,1558,1095.9,0,own-child,Cust12193,5,1998
226,250/500,2000,1157.15,5736653,own-child,Cust12194,3,2009
280,500/1000,500,1145.02,0,unmarried,Cust12195,5,2000
142,100/300,500,1440.62,0,wife,Cust12196,3,2014
237,100/300,1360,1129.51,0,own-child,Cust12197,11,1999
162,250/500,693,1284.36,0,other-relative,Cust12201,4,1996
112,500/1000,1964,1181.32,0,not-in-family,Cust12202,12,2005
175,100/300,745,896.38,0,wife,Cust12203,10,2002
176,500/1000,2000,1384.95,3842300,other-relative,Cust12205,9,1994
172,250/500,1108,1360.95,3568149,unmarried,Cust12206,3,2006
88,100/300,826,1280.62,0,other-relative,Cust12208,4,2006
94,100/300,1000,1437.78,0,not-in-family,Cust12211,8,1992
121,500/1000,1000,1306.48,0,unmarried,Cust12212,9,1991
160,250/500,786,1466.3,0,husband,Cust12213,8,2008
105,100/300,567,1249.41,0,husband,Cust12216,3,1992
186,500/1000,2000,1452.68,0,other-relative,Cust12218,10,1996
87,100/300,818,1323.04,0,not-in-family,Cust12220,11,2009
134,500/1000,1000,1433.0,512846,husband,Cust12222,7,2000
293,500/1000,535,1003.52,0,husband,Cust12224,5,2007
446,100/300,1000,1322.62,251911,other-relative,Cust12225,12,1992
48,100/300,2000,1128.39,0,not-in-family,Cust12226,9,2002
226,500/1000,2000,1321.57,3263377,not-in-family,Cust12227,3,2003
263,250/500,1000,1176.39,0,not-in-family,Cust12228,6,2001
296,100/300,1000,1292.79,0,unmarried,Cust12229,9,1992
290,100/300,500,1042.64,5244523,wife,Cust12231,3,2009
247,100/300,1526,1150.14,0,unmarried,Cust12233,12,2009
361,100/300,614,1177.81,0,own-child,Cust12234,4,2000
55,100/300,2000,1374.67,0,own-child,Cust12235,2,1996
132,500/1000,1000,1861.52,0,not-in-family,Cust12236,11,2010
109,500/1000,500,1383.36,0,other-relative,Cust12237,7,2000
208,100/300,845,1548.75,0,own-child,Cust12238,3,2007
195,500/1000,1773,1423.09,0,unmarried,Cust12239,3,2006
283,250/500,500,928.58,0,wife,Cust12241,4,2000
169,100/300,1722,1260.04,0,not-in-family,Cust12242,4,2006
309,250/1000,500,1033.86,0,not-in-family,Cust12247,9,2007
149,250/500,1000,789.27,0,not-in-family,Cust12248,6,1992
259,500/1000,500,1195.61,6705027,own-child,Cust12250,8,1995
240,100/300,1731,1250.38,4537651,other-relative,Cust12251,2,2009
266,500/1000,1704,1302.15,0,other-relative,Cust12252,9,2001
93,100/300,1355,1385.75,0,husband,Cust12253,6,2014
192,250/500,500,1539.82,2582697,husband,Cust12256,2,2002
475,100/300,1981,1306.59,0,not-in-family,Cust12259,7,1997
234,250/500,1000,959.64,0,other-relative,Cust12260,5,2000
42,100/300,1596,1137.43,0,wife,Cust12261,7,2002
246,500/1000,1037,1340.33,4493258,unmarried,Cust12263,8,1993
149,100/300,1000,1196.3,2173336,own-child,Cust12264,7,2013
70,250/500,1657,1156.38,0,not-in-family,Cust12265,6,2011
279,100/300,1000,1508.38,5825138,other-relative,Cust12266,6,1993
186,250/500,1088,1407.53,0,own-child,Cust12268,2,1992
247,100/300,2000,1270.28,2257429,husband,Cust12270,11,2009
372,100/300,589,1211.57,0,not-in-family,Cust12272,12,2002
266,100/300,611,1537.94,0,own-child,Cust12275,5,2009
355,500/1000,2000,1479.56,3515173,not-in-family,Cust12276,7,2003
309,100/300,1659,1197.63,1703024,wife,Cust12277,2,1996
272,250/500,2000,1430.91,0,own-child,Cust12278,7,2004
203,250/500,1701,1261.16,0,other-relative,Cust12280,6,2000
139,500/1000,500,1201.27,2646154,wife,Cust12281,1,2001
80,100/300,1551,1039.01,0,unmarried,Cust12283,2,2008
289,100/300,2000,1313.41,0,wife,Cust12286,5,1997
322,250/500,500,1175.94,3581251,other-relative,Cust12287,10,1999
163,250/500,500,1202.53,3429219,own-child,Cust12288,6,2008
424,100/300,1000,1498.22,0,wife,Cust12291,5,2014
227,100/300,616,1318.78,0,not-in-family,Cust12292,3,1993
60,500/1000,500,1377.15,6814894,wife,Cust12294,7,2002
208,100/300,2000,1224.0,0,wife,Cust12295,1,2010
220,500/1000,500,1279.22,0,own-child,Cust12296,1,1993
32,100/300,1878,1124.41,0,wife,Cust12297,6,2002
190,500/1000,1337,1008.03,0,not-in-family,Cust12298,7,1998
301,100/300,2000,1207.59,0,not-in-family,Cust12300,5,1990
282,250/500,1000,1429.7,0,wife,Cust12302,6,2010
196,250/500,500,1050.8,4570265,own-child,Cust12303,11,2012
168,100/300,972,1742.04,2831219,unmarried,Cust12304,12,2013
239,250/500,1000,1198.18,0,own-child,Cust12305,4,2004
315,500/1000,2000,1294.97,0,other-relative,Cust12306,8,2002
191,100/300,1098,1028.17,0,husband,Cust12307,12,2011
267,100/300,2000,1506.47,0,husband,Cust12308,4,1990
256,500/1000,613,1204.3,0,own-child,Cust12310,10,1990
201,250/500,500,1154.53,0,other-relative,Cust12311,6,2001
123,500/1000,1000,1297.25,0,other-relative,Cust12312,5,1998
254,250/300,1805,1066.81,4829003,husband,Cust12313,8,1993
396,100/300,1000,1509.57,0,wife,Cust12314,5,2014
107,500/1000,709,1221.07,4649824,wife,Cust12315,4,2008
230,100/300,577,1394.37,0,own-child,Cust12316,6,2004
448,250/500,500,974.74,0,not-in-family,Cust12317,8,2011
51,500/1000,689,1750.28,0,own-child,Cust12318,10,2009
238,100/300,1000,1334.66,0,husband,Cust12320,5,2007
170,250/500,500,1492.28,2621939,wife,Cust12321,10,2010
186,100/300,500,1484.02,0,own-child,Cust12322,11,2005
295,250/500,1000,1202.97,6000000,other-relative,Cust12324,10,1997
307,250/500,577,1302.44,768255,other-relative,Cust12325,5,1992
222,100/300,947,861.11,0,wife,Cust12326,2,1995
84,250/500,1000,1025.08,3015986,own-child,Cust12327,6,2003
79,100/300,1000,1132.12,0,other-relative,Cust12328,12,1993
81,250/500,664,992.99,4671261,own-child,Cust12331,11,2000
335,100/300,592,1689.14,0,wife,Cust12332,10,2005
370,100/300,1539,1138.52,0,husband,Cust12334,2,2004
173,250/500,500,904.43,0,own-child,Cust12335,9,2007
91,250/500,500,1166.2,4837832,not-in-family,Cust12336,5,2003
294,250/500,552,1296.22,0,not-in-family,Cust12337,4,1992
208,100/300,2000,1228.52,0,own-child,Cust12338,9,1990
162,100/300,500,1103.7,0,own-child,Cust12340,3,2010
388,100/300,574,1213.82,0,own-child,Cust12341,5,1999
82,100/300,1369,1201.53,6369459,own-child,Cust12342,8,1997
135,100/300,500,1380.32,0,own-child,Cust12343,3,2002
90,500/1000,1000,1329.32,0,husband,Cust12344,8,1991
193,500/1000,899,1039.14,0,unmarried,Cust12345,6,1998
385,100/300,1000,1308.94,0,own-child,Cust12346,11,2008
203,100/300,500,1394.37,814092,husband,Cust12348,3,1998
91,500/1000,911,1123.05,0,unmarried,Cust12349,2,2006
149,500/300,1000,1379.37,4869737,husband,Cust12350,7,2010
145,500/1000,1793,1187.1,0,not-in-family,Cust12351,11,2005
141,500/1000,1153,1224.63,0,husband,Cust12352,7,1996
115,100/300,1900,1584.42,0,own-child,Cust12353,5,1991
291,500/1000,1000,1361.92,0,unmarried,Cust12354,2,1991
227,250/500,500,1127.51,399865,not-in-family,Cust12355,5,2000
254,500/1000,1263,1437.84,0,wife,Cust12356,7,2005
360,100/300,950,1158.04,0,unmarried,Cust12357,12,2008
49,500/1000,506,1094.2,0,husband,Cust12358,5,2008
271,250/500,500,1461.32,4124627,wife,Cust12359,5,1998
102,100/300,1101,832.1,0,not-in-family,Cust12360,12,2000
162,250/500,541,1564.31,0,unmarried,Cust12361,12,1998
236,500/300,662,1232.19,0,husband,Cust12362,7,1995
114,500/1000,909,1235.62,0,other-relative,Cust12363,12,2001
149,100/300,695,1231.37,0,husband,Cust12364,7,2008
25,500/1000,1000,1151.19,3210263,unmarried,Cust12366,4,2005
207,250/500,563,1207.12,0,other-relative,Cust12367,6,2000
181,100/300,708,1191.08,2335105,other-relative,Cust12368,7,1997
123,250/500,705,1368.52,0,other-relative,Cust12370,1,2005
414,100/300,1790,1319.84,0,unmarried,Cust12371,10,1992
286,250/500,2000,1373.38,2107221,not-in-family,Cust12373,3,2003
163,100/300,1000,1213.82,1673973,wife,Cust12374,4,2012
128,100/300,500,1373.04,6146289,wife,Cust12375,9,2002
195,250/500,1150,1279.4,0,husband,Cust12376,5,2002
142,500/1000,957,1370.01,0,not-in-family,Cust12377,2,1992
397,500/1000,1769,1411.2,0,husband,Cust12378,5,1999
247,500/1000,2000,1524.57,0,other-relative,Cust12380,3,1990
67,100/300,2000,999.44,0,not-in-family,Cust12381,1,1999
130,250/300,1000,1535.24,3183247,wife,Cust12383,9,1999
94,100/300,656,1452.31,0,own-child,Cust12385,9,1999
119,500/1000,738,1229.45,0,husband,Cust12386,12,2006
250,500/1000,1170,1149.87,0,wife,Cust12387,3,1996
126,100/300,500,1315.85,0,own-child,Cust12388,3,2003
381,100/300,1325,1514.34,0,not-in-family,Cust12389,4,2009
50,250/500,2000,597.94,5053004,wife,Cust12390,4,1995
100,500/1000,500,933.74,0,other-relative,Cust12391,7,1994
207,250/500,500,1517.22,3517926,husband,Cust12393,10,2005
278,250/500,500,1273.47,0,not-in-family,Cust12394,3,1992
264,250/500,1000,1406.75,0,other-relative,Cust12395,5,2007
38,100/300,968,1473.67,0,wife,Cust12396,9,2010
269,250/500,500,1547.04,3992198,own-child,Cust12397,12,1997
89,250/500,1000,1372.42,0,husband,Cust12399,9,1999
113,100/300,826,931.45,0,husband,Cust12400,6,2004
211,250/500,500,1835.42,3935710,unmarried,Cust12402,3,1996
148,250/500,1675,1267.03,0,unmarried,Cust12403,11,1992
216,500/1000,916,1269.17,0,wife,Cust12405,8,2003
295,500/1000,1347,1374.66,1736966,not-in-family,Cust12406,6,1998
51,250/500,2000,1337.32,0,own-child,Cust12407,4,2004
356,500/1000,626,1277.06,0,unmarried,Cust12408,8,2001
130,100/300,500,1408.66,0,wife,Cust12409,4,2012
97,500/1000,500,1244.95,1270315,husband,Cust12410,9,1993
257,250/500,2000,1451.37,0,own-child,Cust12411,8,2004
242,250/500,903,1063.1,0,own-child,Cust12412,11,1993
108,100/1000,1027,1061.83,2918875,own-child,Cust12413,7,2014
126,250/300,739,1295.41,0,other-relative,Cust12414,7,2000
102,500/1000,500,919.37,0,other-relative,Cust12415,8,1994
255,250/500,500,1135.08,0,other-relative,Cust12416,3,1995
230,250/500,627,1280.3,0,unmarried,Cust12418,3,2003
217,100/300,885,1149.05,0,other-relative,Cust12420,7,2001
171,250/500,2000,1688.46,0,husband,Cust12421,9,1997
160,100/500,1000,1053.92,505772,husband,Cust12423,6,2002
350,100/300,661,1508.84,0,unmarried,Cust12424,7,1995
187,100/300,921,1737.36,2526633,unmarried,Cust12425,12,2012
89,500/1000,1000,1395.46,0,husband,Cust12426,10,2011
256,100/300,1700,1240.22,0,not-in-family,Cust12428,6,1996
309,250/500,1000,1277.85,0,husband,Cust12429,8,2000
74,250/500,500,1252.05,2439558,not-in-family,Cust12430,6,2000
341,250/500,1629,1458.45,0,not-in-family,Cust12431,5,1996
131,500/1000,500,1502.44,0,own-child,Cust12432,2,1994
280,100/300,695,1279.31,0,husband,Cust12433,7,2005
85,500/1000,500,1456.86,4516398,not-in-family,Cust12435,3,2007
304,100/300,500,1213.47,6298792,wife,Cust12436,7,2010
456,100/300,500,985.62,0,wife,Cust12437,6,2000
458,100/300,2000,1371.77,0,husband,Cust12438,7,2004
200,100/300,934,1231.34,0,unmarried,Cust12439,12,2012
423,100/300,500,932.12,6168253,own-child,Cust12440,12,1997
180,500/1000,856,1259.64,0,husband,Cust12441,5,2002
435,250/500,502,1362.44,0,wife,Cust12443,4,1992
179,250/500,1000,1301.25,3451622,other-relative,Cust12444,6,1993
